Impact,Scenario,SSP,Production,2020,2030,2040,2050
Land,Central Europe,SSP1,localprod,1.11483531,1.755309683,3.141988807,4.170922228
Land,Central Europe,SSP2,localprod,1.108882873,1.571612815,2.627559535,4.118177865
Land,Central Europe,SSP3,localprod,1.117508465,1.59548589,2.115970508,2.710634929
Land,Central Latin America,SSP1,localprod,0.68398159,1.288766594,2.354827394,2.923630662
Land,Central Latin America,SSP2,localprod,0.655934763,1.09013882,2.002965806,3.111742811
Land,Central Latin America,SSP3,localprod,0.636373631,1.010339768,1.417384122,1.92424914
Land,East Asia,SSP1,localprod,0.682388539,1.287957494,2.319303291,2.887808584
Land,East Asia,SSP2,localprod,0.654300987,1.088132237,1.989408898,3.071716306
Land,East Asia,SSP3,localprod,0.634702192,1.008202187,1.41473108,1.921044678
Land,North Africa and Middle East,SSP1,localprod,0.694526072,1.331183777,2.516119215,3.165909586
Land,North Africa and Middle East,SSP2,localprod,0.657750912,1.124772554,2.078913023,3.321759459
Land,North Africa and Middle East,SSP3,localprod,0.633648257,1.025935537,1.454901904,1.983988142
Water,Central Europe,SSP1,localprod,3.860169968,6.284754243,11.82622718,15.57731387
Water,Central Europe,SSP2,localprod,3.812981278,5.480718264,9.690140568,15.45123335
Water,Central Europe,SSP3,localprod,3.846949642,5.50993527,7.342611854,9.441013572
Water,Central Latin America,SSP1,localprod,2.383597224,4.633322261,9.504554398,12.31912501
Water,Central Latin America,SSP2,localprod,2.272391454,3.82238009,7.557704134,12.53382363
Water,Central Latin America,SSP3,localprod,2.218950654,3.534040636,4.972495374,6.741148849
Water,East Asia,SSP1,localprod,2.391664358,4.654764439,9.401671218,12.25185342
Water,East Asia,SSP2,localprod,2.280664822,3.83254133,7.535351715,12.41545685
Water,East Asia,SSP3,localprod,2.227414742,3.544865245,4.985930255,6.757376095
Water,North Africa and Middle East,SSP1,localprod,2.49160239,4.934174205,10.47053969,13.77601031
Water,North Africa and Middle East,SSP2,localprod,2.337847203,4.090374276,8.069214616,13.81494773
Water,North Africa and Middle East,SSP3,localprod,2.277798347,3.685596892,5.272499135,7.228053388
Energy,Central Europe,SSP1,localprod,0.368601814,0.604686732,1.144388364,1.50329532
Energy,Central Europe,SSP2,localprod,0.363618326,0.524679486,0.935819872,1.497316256
Energy,Central Europe,SSP3,localprod,0.366780556,0.527373326,0.701553428,0.903784486
Energy,Central Latin America,SSP1,localprod,0.221945787,0.435830296,0.886469544,1.131946552
Energy,Central Latin America,SSP2,localprod,0.210938585,0.356807302,0.712853922,1.171741284
Energy,Central Latin America,SSP3,localprod,0.205856836,0.329959937,0.464429466,0.630549895
Energy,East Asia,SSP1,localprod,0.222654436,0.438202087,0.876966181,1.125583017
Energy,East Asia,SSP2,localprod,0.211665351,0.357699905,0.710955497,1.160960919
Energy,East Asia,SSP3,localprod,0.206600355,0.330910813,0.465609639,0.631975361
Energy,North Africa and Middle East,SSP1,localprod,0.231628847,0.464446452,0.977049874,1.26921816
Energy,North Africa and Middle East,SSP2,localprod,0.216554901,0.382108604,0.76182895,1.292234405
Energy,North Africa and Middle East,SSP3,localprod,0.210658649,0.343614614,0.492221514,0.676477482
GHG,Central Europe,SSP1,localprod,68.19985919,109.81416,202.219452,266.6740125
GHG,Central Europe,SSP2,localprod,67.54049497,96.71073888,167.2871255,264.8925199
GHG,Central Europe,SSP3,localprod,68.07005177,97.6874317,129.7150614,166.7512743
GHG,Central Latin America,SSP1,localprod,41.11628764,79.34218112,152.3528465,190.9365863
GHG,Central Latin America,SSP2,localprod,39.22035073,65.9606997,126.4983962,201.4488436
GHG,Central Latin America,SSP3,localprod,38.1305779,61.02117583,85.80592299,116.6339065
GHG,East Asia,SSP1,localprod,41.11838,79.52710002,150.4049499,189.2202455
GHG,East Asia,SSP2,localprod,39.22249658,65.96333521,125.9027527,199.2519805
GHG,East Asia,SSP3,localprod,38.13277322,61.0239834,85.80940757,116.6381153
GHG,North Africa and Middle East,SSP1,localprod,42.26122187,83.13621538,165.1664334,210.3221443
GHG,North Africa and Middle East,SSP2,localprod,39.73640747,69.22718022,133.112264,218.3637317
GHG,North Africa and Middle East,SSP3,localprod,38.42296064,62.66282981,89.35858158,122.4609964
Land,Central Europe,SSP1,currentshare,0.944134089,1.515596573,2.751930544,3.670343917
Land,Central Europe,SSP2,currentshare,0.938893628,1.35202699,2.293577738,3.62302848
Land,Central Europe,SSP3,currentshare,0.946575114,1.373476044,1.838337607,2.369385195
Land,Central Latin America,SSP1,currentshare,0.559350462,1.099192346,2.048618698,2.554989656
Land,Central Latin America,SSP2,currentshare,0.534339736,0.922152416,1.735982742,2.723671534
Land,Central Latin America,SSP3,currentshare,0.516819865,0.850856948,1.214445161,1.66726198
Land,East Asia,SSP1,currentshare,0.557890008,1.098389898,2.016837224,2.522839187
Land,East Asia,SSP2,currentshare,0.532841946,0.920312851,1.723801068,2.68786189
Land,East Asia,SSP3,currentshare,0.515287548,0.848897288,1.212012944,1.664324241
Land,North Africa and Middle East,SSP1,currentshare,0.56859047,1.13663188,2.191507264,2.769593237
Land,North Africa and Middle East,SSP2,currentshare,0.535821678,0.952674524,1.803081591,2.909650812
Land,North Africa and Middle East,SSP3,currentshare,0.514228252,0.864542444,1.247502135,1.719843723
Water,Central Europe,SSP1,currentshare,3.347163841,5.562497754,10.62220944,14.05113346
Water,Central Europe,SSP2,currentshare,3.304330592,4.82916992,8.672900634,13.93480989
Water,Central Europe,SSP3,currentshare,3.335323045,4.856461124,6.532813368,8.451926319
Water,Central Latin America,SSP1,currentshare,1.996672938,4.053162036,8.497385563,11.06488684
Water,Central Latin America,SSP2,currentshare,1.895123964,3.312910922,6.723497431,11.26419554
Water,Central Latin America,SSP3,currentshare,1.846041376,3.04909777,4.365037596,5.983303316
Water,East Asia,SSP1,currentshare,2.003894572,4.072443224,8.403035128,11.00268497
Water,East Asia,SSP2,currentshare,1.902530217,3.322007183,6.702738699,11.15565412
Water,East Asia,SSP3,currentshare,1.85361836,3.058787875,4.377064394,5.997829816
Water,North Africa and Middle East,SSP1,currentshare,2.094712016,4.326504078,9.376161051,12.39013848
Water,North Africa and Middle East,SSP2,currentshare,1.95439645,3.556326341,7.188342062,12.42946213
Water,North Africa and Middle East,SSP3,currentshare,1.899191845,3.186693588,4.63755319,6.42543334
Energy,Central Europe,SSP1,currentshare,0.326391195,0.545288481,1.045107731,1.376894181
Energy,Central Europe,SSP2,currentshare,0.321734876,0.471100849,0.85237141,1.371611949
Energy,Central Europe,SSP3,currentshare,0.324580944,0.473401238,0.63495886,0.822418457
Energy,Central Latin America,SSP1,currentshare,0.190758534,0.389351997,0.809389376,1.039587926
Energy,Central Latin America,SSP2,currentshare,0.180534133,0.316183367,0.64675077,1.074168126
Energy,Central Latin America,SSP3,currentshare,0.175784316,0.291026012,0.415949388,0.570355071
Energy,East Asia,SSP1,currentshare,0.191418678,0.391508005,0.800660824,1.033758505
Energy,East Asia,SSP2,currentshare,0.181211154,0.317014874,0.644999433,1.064232536
Energy,East Asia,SSP3,currentshare,0.176476943,0.291911803,0.417048781,0.571682968
Energy,North Africa and Middle East,SSP1,currentshare,0.199847777,0.415798631,0.893054652,1.166341393
Energy,North Africa and Middle East,SSP2,currentshare,0.185875862,0.339664589,0.691945171,1.185444667
Energy,North Africa and Middle East,SSP3,currentshare,0.18041656,0.303832591,0.441834443,0.613004681
GHG,Central Europe,SSP1,currentshare,62.0354417,102.0287841,190.5620196,252.3179757
GHG,Central Europe,SSP2,currentshare,61.40351282,89.47738662,157.223151,250.6647866
GHG,Central Europe,SSP3,currentshare,61.89177601,90.40071981,121.2360174,156.8807561
GHG,Central Latin America,SSP1,currentshare,35.99283991,72.7819329,142.9007291,180.0763061
GHG,Central Latin America,SSP2,currentshare,34.1680197,59.9725457,118.0713902,190.0108772
GHG,Central Latin America,SSP3,currentshare,33.10291664,55.16673042,79.05799092,108.8076183
GHG,East Asia,SSP1,currentshare,35.98826993,72.93977944,141.0348783,178.4106091
GHG,East Asia,SSP2,currentshare,34.16333289,59.96678943,117.488494,187.9011874
GHG,East Asia,SSP3,currentshare,33.09812178,55.16059834,79.05038015,108.7984257
GHG,North Africa and Middle East,SSP1,currentshare,37.08023236,76.33708853,154.951482,198.3018688
GHG,North Africa and Middle East,SSP2,currentshare,34.66124713,63.04582408,124.2663093,205.9077887
GHG,North Africa and Middle East,SSP3,currentshare,33.38528512,56.72590387,82.41357872,114.2875772
Land,Central Europe,SSP1,hightech,0.318258993,0.449441363,0.725105325,0.945763188
Land,Central Europe,SSP2,hightech,0.318107318,0.416278365,0.625003968,0.928476711
Land,Central Europe,SSP3,hightech,0.320056898,0.423508984,0.536907408,0.664857037
Land,Central Latin America,SSP1,hightech,0.226277981,0.354025663,0.556453327,0.664827349
Land,Central Latin America,SSP2,hightech,0.220828514,0.315081664,0.497039256,0.711608924
Land,Central Latin America,SSP3,hightech,0.216159199,0.297999267,0.387536825,0.499106374
Land,East Asia,SSP1,hightech,0.225546533,0.352986003,0.547739496,0.655104631
Land,East Asia,SSP2,hightech,0.220078367,0.314160344,0.493167287,0.701823747
Land,East Asia,SSP3,hightech,0.21539176,0.297017799,0.386318684,0.497635049
Land,North Africa and Middle East,SSP1,hightech,0.226600358,0.358818862,0.580830642,0.70094969
Land,North Africa and Middle East,SSP2,hightech,0.21958123,0.318282478,0.506350897,0.742491219
Land,North Africa and Middle East,SSP3,hightech,0.213674948,0.298687272,0.390880879,0.503870836
Water,Central Europe,SSP1,hightech,2.463203167,3.581283702,6.188474698,8.07238021
Water,Central Europe,SSP2,hightech,2.448434604,3.231440598,5.160112839,7.904954296
Water,Central Europe,SSP3,hightech,2.47200756,3.25700652,4.156308392,5.151209008
Water,Central Latin America,SSP1,hightech,1.811385882,2.907251693,5.412581159,7.009906057
Water,Central Latin America,SSP2,hightech,1.76378735,2.524560346,4.349235832,6.94748155
Water,Central Latin America,SSP3,hightech,1.74083298,2.390907856,3.118263749,3.994193961
Water,East Asia,SSP1,hightech,1.816796175,2.916891983,5.353486375,6.974898591
Water,East Asia,SSP2,hightech,1.769335956,2.531375069,4.335594227,6.879319597
Water,East Asia,SSP3,hightech,1.746509493,2.398167474,3.127273968,4.005076903
Water,North Africa and Middle East,SSP1,hightech,1.870095729,3.069141745,5.950212083,7.813575806
Water,North Africa and Middle East,SSP2,hightech,1.799709619,2.665803582,4.623331516,7.65700183
Water,North Africa and Middle East,SSP3,hightech,1.773861518,2.472765863,3.278700778,4.250360859
Energy,Central Europe,SSP1,hightech,0.212254223,0.316453567,0.54438082,0.685840509
Energy,Central Europe,SSP2,hightech,0.209463549,0.280973252,0.463124574,0.688632898
Energy,Central Europe,SSP3,hightech,0.209443084,0.279134311,0.356358581,0.444791361
Energy,Central Latin America,SSP1,hightech,0.151986693,0.249813263,0.476314445,0.617845715
Energy,Central Latin America,SSP2,hightech,0.146804031,0.216713871,0.378402821,0.603960195
Energy,Central Latin America,SSP3,hightech,0.143920318,0.20086167,0.263129164,0.341563811
Energy,East Asia,SSP1,hightech,0.152291435,0.250163912,0.473479291,0.616022859
Energy,East Asia,SSP2,hightech,0.147116564,0.217097719,0.377688995,0.600240683
Energy,East Asia,SSP3,hightech,0.144240055,0.201270578,0.263636677,0.342176807
Energy,North Africa and Middle East,SSP1,hightech,0.157659927,0.260507445,0.509345141,0.667437082
Energy,North Africa and Middle East,SSP2,hightech,0.151098442,0.227663027,0.395741473,0.647659422
Energy,North Africa and Middle East,SSP3,hightech,0.148519722,0.208716447,0.276489614,0.361809839
GHG,Central Europe,SSP1,hightech,89.18847275,130.3608322,218.9171506,279.6624296
GHG,Central Europe,SSP2,hightech,88.48431433,117.6553632,187.0366071,278.8185767
GHG,Central Europe,SSP3,hightech,88.72062977,118.1859958,150.300795,187.1919493
GHG,Central Latin America,SSP1,hightech,62.83622358,101.4203351,176.7010334,219.49197
GHG,Central Latin America,SSP2,hightech,60.9085013,88.70058895,148.6772731,225.1072885
GHG,Central Latin America,SSP3,hightech,59.64550484,82.98255932,108.3389111,140.2434575
GHG,East Asia,SSP1,hightech,62.79692764,101.3975533,174.9605746,217.8015567
GHG,East Asia,SSP2,hightech,60.86820077,88.65109237,148.0336966,223.0534452
GHG,East Asia,SSP3,hightech,59.60427528,82.9298314,108.2734682,140.1644127
GHG,North Africa and Middle East,SSP1,hightech,64.05389854,104.3919982,186.9779952,234.9416734
GHG,North Africa and Middle East,SSP2,hightech,61.61411108,91.50246744,153.7365479,238.5665587
GHG,North Africa and Middle East,SSP3,hightech,60.23209812,84.70763084,111.623587,145.2679161
